ID,Name,Age,Salary,Department,Gender,Years of Experience,Education Level,Performance Rating,Date of Hire,Job Title,Manager Name,Phone Number,Email Address,Address
23,Employee 23,34,67042.86,Marketing,Female,8,High School,3.0,2023-06-25,Director Marketing,David Brown,493-737-3803,employee23@example.com,"890 Main St, Anytown, USA"
24,Employee 24,51,89929.34,Marketing,Non-binary,18,High School,4.0,2011-01-12,Assistant Marketing,Emily Williams,590-907-8331,employee24@example.com,"567 Main St, Anytown, USA"
25,Employee 25,51,90772.4,Engineering,Non-binary,20,Master's,5.0,2015-03-26,Assistant Engineering,David Brown,153-305-9870,employee25@example.com,"901 Main St, Anytown, USA"
26,Employee 26,44,111548.57,Finance,Male,28,Associate's,4.5,2014-05-10,Assistant Finance,Bob Johnson,769-158-5944,employee26@example.com,"567 Main St, Anytown, USA"
27,Employee 27,34,65051.56,Sales,Non-binary,19,PhD,3.0,2018-05-28,Analyst Sales,Bob Johnson,172-515-9418,employee27@example.com,"901 Main St, Anytown, USA"
28,Employee 28,38,43865.31,Engineering,Female,15,Master's,3.0,2017-09-04,Analyst Engineering,Jane Smith,778-951-6097,employee28@example.com,"890 Main St, Anytown, USA"
29,Employee 29,56,48974.41,Engineering,Male,27,Associate's,5.0,2016-03-10,Analyst Engineering,Emily Williams,644-598-1722,employee29@example.com,"789 Main St, Anytown, USA"
30,Employee 30,49,101856.31,Engineering,Non-binary,25,PhD,3.5,2019-04-10,Coordinator Engineering,John Doe,361-622-1934,employee30@example.com,"456 Main St, Anytown, USA"
31,Employee 31,62,70568.33,Engineering,Female,16,Master's,5.0,2021-09-22,Coordinator Engineering,Bob Johnson,386-814-8676,employee31@example.com,"901 Main St, Anytown, USA"
32,Employee 32,46,68378.67,Sales,Male,10,Associate's,3.5,2023-10-09,Director Sales,John Doe,170-553-2161,employee32@example.com,"2345 Main St, Anytown, USA"
33,Employee 33,63,111035.69,HR,Male,1,High School,3.5,2011-06-01,Coordinator HR,Jane Smith,787-928-7661,employee33@example.com,"901 Main St, Anytown, USA"
34,Employee 34,29,71038.64,Finance,Male,21,Associate's,3.5,2016-06-22,Manager Finance,David Brown,701-114-8864,employee34@example.com,"901 Main St, Anytown, USA"
35,Employee 35,32,44252.63,Sales,Female,30,Associate's,4.0,2014-05-08,Engineer Sales,David Brown,721-599-5792,employee35@example.com,"901 Main St, Anytown, USA"
36,Employee 36,42,45290.32,Engineering,Male,12,PhD,4.5,2020-06-06,Engineer Engineering,John Doe,336-993-8518,employee36@example.com,"101 Main St, Anytown, USA"
37,Employee 37,56,81325.35,Sales,Male,20,Bachelor's,4.5,2015-06-19,Manager Sales,Emily Williams,712-688-2078,employee37@example.com,"234 Main St, Anytown, USA"
38,Employee 38,34,63588.63,HR,Female,7,High School,3.5,2013-01-23,Manager HR,Jane Smith,200-950-7693,employee38@example.com,"123 Main St, Anytown, USA"
39,Employee 39,36,105817.07,Sales,Male,5,High School,3.0,2015-06-09,Director Sales,Emily Williams,216-111-3871,employee39@example.com,"456 Main St, Anytown, USA"
40,Employee 40,41,59739.03,Sales,Male,20,Associate's,5.0,2023-05-14,Director Sales,Bob Johnson,652-135-3882,employee40@example.com,"1234 Main St, Anytown, USA"
41,Employee 41,49,112268.99,Sales,Non-binary,4,Master's,3.5,2010-02-01,Analyst Sales,Bob Johnson,855-994-4817,employee41@example.com,"567 Main St, Anytown, USA"
42,Employee 42,39,114770.63,Marketing,Non-binary,7,Master's,4.0,2018-06-01,Manager Marketing,Bob Johnson,189-754-7244,employee42@example.com,"678 Main St, Anytown, USA"
43,Employee 43,64,62021.43,Engineering,Non-binary,29,Bachelor's,4.5,2021-12-09,Engineer Engineering,Jane Smith,603-224-5717,employee43@example.com,"101 Main St, Anytown, USA"
44,Employee 44,53,117207.27,HR,Non-binary,19,Associate's,5.0,2019-07-23,Assistant HR,John Doe,993-427-9943,employee44@example.com,"901 Main St, Anytown, USA"
45,Employee 45,60,107781.55,Engineering,Non-binary,1,High School,4.5,2023-10-22,Assistant Engineering,David Brown,934-383-2520,employee45@example.com,"789 Main St, Anytown, USA"
46,Employee 46,65,80954.68,Sales,Female,17,High School,3.5,2014-12-25,Coordinator Sales,Emily Williams,478-532-7313,employee46@example.com,"567 Main St, Anytown, USA"
47,Employee 47,59,116608.7,Engineering,Non-binary,3,Master's,5.0,2018-12-02,Manager Engineering,Emily Williams,274-592-4693,employee47@example.com,"456 Main St, Anytown, USA"
48,Employee 48,31,116551.85,Marketing,Non-binary,21,Bachelor's,4.0,2021-05-08,Manager Marketing,John Doe,912-361-2180,employee48@example.com,"901 Main St, Anytown, USA"
49,Employee 49,33,111232.76,Engineering,Non-binary,13,Master's,4.5,2022-09-05,Coordinator Engineering,Bob Johnson,664-461-7627,employee49@example.com,"2345 Main St, Anytown, USA"
50,Employee 50,53,117418.48,Finance,Female,28,High School,4.0,2017-04-11,Director Finance,John Doe,644-927-6326,employee50@example.com,"2345 Main St, Anytown, USA"
51,Employee 51,44,98491.53,Marketing,Male,10,PhD,4.5,2019-10-28,Engineer Marketing,Emily Williams,626-340-9139,employee51@example.com,"5678 Main St, Anytown, USA"
52,Employee 52,60,96077.93,Engineering,Female,25,High School,3.0,2011-06-24,Manager Engineering,Jane Smith,743-446-7377,employee52@example.com,"890 Main St, Anytown, USA"
53,Employee 53,55,56821.26,Engineering,Male,29,Master's,3.0,2010-05-19,Assistant Engineering,David Brown,951-640-6029,employee53@example.com,"567 Main St, Anytown, USA"
54,Employee 54,43,87121.15,Finance,Male,13,PhD,5.0,2017-03-14,Analyst Finance,Jane Smith,278-378-2816,employee54@example.com,"101 Main St, Anytown, USA"
55,Employee 55,30,71347.63,Engineering,Female,29,Bachelor's,4.0,2021-02-26,Manager Engineering,Bob Johnson,525-135-6826,employee55@example.com,"234 Main St, Anytown, USA"
56,Employee 56,28,51701.08,Marketing,Male,24,Associate's,5.0,2018-01-08,Director Marketing,Jane Smith,207-103-5903,employee56@example.com,"678 Main St, Anytown, USA"
57,Employee 57,48,59643.44,Sales,Non-binary,1,High School,3.5,2016-11-20,Director Sales,John Doe,184-838-2900,employee57@example.com,"5678 Main St, Anytown, USA"
58,Employee 58,51,49949.49,HR,Male,9,PhD,5.0,2012-12-12,Director HR,Bob Johnson,793-551-8138,employee58@example.com,"5678 Main St, Anytown, USA"
59,Employee 59,52,114659.54,Finance,Non-binary,14,Master's,5.0,2011-11-17,Coordinator Finance,David Brown,107-697-2027,employee59@example.com,"456 Main St, Anytown, USA"
60,Employee 60,32,56623.87,HR,Male,23,PhD,4.0,2021-09-19,Manager HR,David Brown,136-589-5268,employee60@example.com,"678 Main St, Anytown, USA"
61,Employee 61,29,78339.71,Finance,Non-binary,21,Bachelor's,5.0,2010-06-26,Manager Finance,Bob Johnson,753-367-5659,employee61@example.com,"2345 Main St, Anytown, USA"
62,Employee 62,29,50141.8,Engineering,Female,12,Master's,5.0,2023-01-25,Director Engineering,Emily Williams,234-203-6969,employee62@example.com,"5678 Main St, Anytown, USA"
63,Employee 63,33,60952.35,Finance,Non-binary,7,High School,5.0,2016-11-04,Coordinator Finance,David Brown,361-867-5048,employee63@example.com,"567 Main St, Anytown, USA"
64,Employee 64,28,66184.31,Marketing,Male,6,Associate's,3.0,2022-10-10,Manager Marketing,Jane Smith,852-320-3431,employee64@example.com,"901 Main St, Anytown, USA"
65,Employee 65,49,69538.42,Marketing,Male,10,Master's,4.5,2017-01-12,Coordinator Marketing,Bob Johnson,390-788-9879,employee65@example.com,"901 Main St, Anytown, USA"
66,Employee 66,35,60638.35,Finance,Female,16,PhD,5.0,2010-01-05,Coordinator Finance,Bob Johnson,876-647-4766,employee66@example.com,"567 Main St, Anytown, USA"
67,Employee 67,53,67047.53,Finance,Male,18,PhD,3.0,2017-08-22,Engineer Finance,Jane Smith,125-759-2463,employee67@example.com,"567 Main St, Anytown, USA"
68,Employee 68,29,117382.42,Engineering,Female,10,Associate's,3.0,2015-03-23,Assistant Engineering,David Brown,861-594-6849,employee68@example.com,"1234 Main St, Anytown, USA"
69,Employee 69,50,58952.92,Finance,Male,21,Associate's,4.5,2013-04-19,Analyst Finance,Bob Johnson,337-264-1231,employee69@example.com,"567 Main St, Anytown, USA"
70,Employee 70,64,66632.68,Sales,Female,6,High School,4.5,2010-05-28,Coordinator Sales,Emily Williams,117-505-2498,employee70@example.com,"456 Main St, Anytown, USA"
71,Employee 71,63,104491.34,Sales,Male,7,Master's,4.0,2012-12-27,Engineer Sales,John Doe,912-707-7270,employee71@example.com,"2345 Main St, Anytown, USA"
72,Employee 72,57,77359.92,Engineering,Male,9,Master's,3.5,2021-06-06,Assistant Engineering,Bob Johnson,979-870-2203,employee72@example.com,"678 Main St, Anytown, USA"
73,Employee 73,40,101481.58,Sales,Non-binary,19,PhD,4.5,2015-05-01,Analyst Sales,John Doe,583-216-8988,employee73@example.com,"789 Main St, Anytown, USA"
74,Employee 74,35,117270.15,HR,Male,13,PhD,3.5,2015-09-08,Engineer HR,John Doe,558-772-9417,employee74@example.com,"123 Main St, Anytown, USA"
75,Employee 75,33,41627.29,HR,Female,10,PhD,3.5,2016-11-09,Director HR,Emily Williams,656-761-5689,employee75@example.com,"2345 Main St, Anytown, USA"
76,Employee 76,39,97474.99,Sales,Female,0,Bachelor's,5.0,2020-02-11,Manager Sales,Jane Smith,834-215-5529,employee76@example.com,"678 Main St, Anytown, USA"
77,Employee 77,42,80416.14,Finance,Non-binary,14,Associate's,5.0,2018-10-14,Assistant Finance,Bob Johnson,319-944-5356,employee77@example.com,"123 Main St, Anytown, USA"
78,Employee 78,59,107966.15,Engineering,Non-binary,14,Bachelor's,3.5,2015-12-21,Engineer Engineering,Emily Williams,733-642-6631,employee78@example.com,"890 Main St, Anytown, USA"
79,Employee 79,59,78415.55,Sales,Male,20,Bachelor's,4.5,2011-02-01,Manager Sales,David Brown,901-538-7445,employee79@example.com,"678 Main St, Anytown, USA"
80,Employee 80,42,82052.72,Marketing,Non-binary,30,Master's,5.0,2019-07-14,Coordinator Marketing,Jane Smith,975-269-8390,employee80@example.com,"234 Main St, Anytown, USA"
81,Employee 81,53,54606.22,Sales,Non-binary,5,Master's,4.0,2014-12-18,Assistant Sales,John Doe,276-805-8749,employee81@example.com,"2345 Main St, Anytown, USA"
82,Employee 82,27,108274.88,Finance,Female,22,PhD,4.0,2014-06-11,Director Finance,Jane Smith,764-964-3757,employee82@example.com,"234 Main St, Anytown, USA"
83,Employee 83,52,48008.24,HR,Female,16,Bachelor's,3.5,2017-05-23,Analyst HR,Jane Smith,942-517-3194,employee83@example.com,"2345 Main St, Anytown, USA"
84,Employee 84,57,85876.63,Finance,Non-binary,21,Associate's,5.0,2018-11-12,Analyst Finance,Bob Johnson,522-509-2391,employee84@example.com,"2345 Main St, Anytown, USA"
85,Employee 85,49,118247.99,Engineering,Female,29,Bachelor's,4.5,2011-07-07,Assistant Engineering,Emily Williams,824-171-8888,employee85@example.com,"456 Main St, Anytown, USA"
86,Employee 86,28,116681.71,Finance,Male,20,High School,3.5,2021-07-19,Coordinator Finance,John Doe,428-993-7060,employee86@example.com,"678 Main St, Anytown, USA"
87,Employee 87,35,103999.38,HR,Female,11,PhD,4.0,2010-03-08,Director HR,David Brown,766-114-4295,employee87@example.com,"101 Main St, Anytown, USA"
88,Employee 88,22,105535.77,Engineering,Female,26,Associate's,4.5,2010-03-13,Director Engineering,Emily Williams,278-867-3739,employee88@example.com,"901 Main St, Anytown, USA"
89,Employee 89,30,55668.27,Engineering,Male,14,PhD,4.5,2014-10-13,Analyst Engineering,Bob Johnson,638-654-5819,employee89@example.com,"123 Main St, Anytown, USA"
90,Employee 90,65,71524.61,Finance,Male,24,High School,4.5,2022-11-19,Coordinator Finance,David Brown,361-808-8144,employee90@example.com,"1234 Main St, Anytown, USA"
91,Employee 91,52,54260.87,HR,Non-binary,13,Associate's,5.0,2016-11-09,Coordinator HR,John Doe,554-367-9240,employee91@example.com,"5678 Main St, Anytown, USA"
92,Employee 92,52,85138.72,HR,Male,17,Bachelor's,4.0,2012-08-15,Coordinator HR,Bob Johnson,144-481-6348,employee92@example.com,"2345 Main St, Anytown, USA"
93,Employee 93,53,66660.63,Sales,Non-binary,29,Master's,4.5,2016-12-21,Assistant Sales,Emily Williams,124-707-4868,employee93@example.com,"456 Main St, Anytown, USA"
94,Employee 94,25,65230.63,Finance,Female,0,High School,3.0,2017-08-02,Manager Finance,Jane Smith,979-705-2018,employee94@example.com,"1234 Main St, Anytown, USA"
95,Employee 95,62,105964.07,Marketing,Female,4,High School,4.5,2020-05-18,Director Marketing,John Doe,887-697-5609,employee95@example.com,"901 Main St, Anytown, USA"
96,Employee 96,24,62003.54,Engineering,Male,26,High School,4.5,2020-01-18,Analyst Engineering,Jane Smith,273-942-3835,employee96@example.com,"234 Main St, Anytown, USA"
97,Employee 97,45,44719.54,Engineering,Female,7,High School,4.0,2015-05-02,Analyst Engineering,Bob Johnson,734-176-6721,employee97@example.com,"5678 Main St, Anytown, USA"
98,Employee 98,23,90864.6,Engineering,Male,4,Bachelor's,4.0,2016-06-08,Director Engineering,John Doe,247-635-5331,employee98@example.com,"234 Main St, Anytown, USA"
99,Employee 99,44,70316.41,Sales,Non-binary,26,PhD,4.5,2016-09-10,Manager Sales,Emily Williams,332-691-9383,employee99@example.com,"123 Main St, Anytown, USA"
100,Employee 100,28,110530.98,Finance,Female,27,PhD,3.0,2013-03-22,Director Finance,Bob Johnson,692-680-7675,employee100@example.com,"567 Main St, Anytown, USA"
101,Employee 101,22,117685.51,Sales,Male,28,High School,3.5,2017-11-20,Assistant Sales,Emily Williams,733-312-4202,employee101@example.com,"2345 Main St, Anytown, USA"
102,Employee 102,50,88791.32,Finance,Female,28,High School,3.5,2018-04-03,Director Finance,John Doe,944-838-5168,employee102@example.com,"789 Main St, Anytown, USA"
103,Employee 103,43,69627.6,HR,Female,12,Master's,5.0,2014-11-28,Engineer HR,Bob Johnson,318-507-2211,employee103@example.com,"567 Main St, Anytown, USA"
104,Employee 104,63,41619.27,Finance,Female,23,Master's,4.5,2021-02-24,Manager Finance,John Doe,505-510-6353,employee104@example.com,"567 Main St, Anytown, USA"
105,Employee 105,47,51572.15,HR,Non-binary,17,Associate's,4.0,2022-09-06,Coordinator HR,John Doe,954-437-1345,employee105@example.com,"234 Main St, Anytown, USA"
106,Employee 106,64,44286.39,Engineering,Female,4,Associate's,5.0,2016-12-15,Coordinator Engineering,Bob Johnson,722-110-6479,employee106@example.com,"5678 Main St, Anytown, USA"
107,Employee 107,27,68100.06,Finance,Female,24,High School,4.5,2022-10-16,Coordinator Finance,Emily Williams,702-105-8929,employee107@example.com,"456 Main St, Anytown, USA"
108,Employee 108,33,78750.14,Marketing,Male,28,Associate's,4.0,2017-03-02,Manager Marketing,Jane Smith,183-301-7592,employee108@example.com,"2345 Main St, Anytown, USA"
109,Employee 109,26,107235.76,Engineering,Non-binary,4,High School,3.5,2013-06-19,Assistant Engineering,David Brown,177-261-7654,employee109@example.com,"2345 Main St, Anytown, USA"
110,Employee 110,53,119935.44,Sales,Female,2,Master's,5.0,2017-11-11,Analyst Sales,Emily Williams,906-282-1016,employee110@example.com,"901 Main St, Anytown, USA"
111,Employee 111,25,63962.44,HR,Female,7,PhD,3.0,2010-07-25,Director HR,Jane Smith,742-883-4847,employee111@example.com,"789 Main St, Anytown, USA"
112,Employee 112,53,66337.97,Finance,Non-binary,25,Associate's,3.5,2015-06-28,Engineer Finance,Emily Williams,678-267-2896,employee112@example.com,"678 Main St, Anytown, USA"
113,Employee 113,54,61146.67,Sales,Female,19,Master's,5.0,2015-11-01,Coordinator Sales,Bob Johnson,784-326-4019,employee113@example.com,"678 Main St, Anytown, USA"
114,Employee 114,31,70129.54,Engineering,Non-binary,11,Bachelor's,3.0,2010-06-26,Engineer Engineering,Bob Johnson,736-756-1535,employee114@example.com,"101 Main St, Anytown, USA"
115,Employee 115,61,61240.65,Marketing,Female,0,High School,3.5,2016-01-27,Director Marketing,David Brown,136-439-3745,employee115@example.com,"101 Main St, Anytown, USA"
116,Employee 116,64,85833.45,Marketing,Male,7,Associate's,4.0,2023-12-27,Assistant Marketing,John Doe,613-316-3213,employee116@example.com,"5678 Main St, Anytown, USA"
117,Employee 117,48,115447.89,Engineering,Male,30,Master's,3.0,2013-12-20,Assistant Engineering,Bob Johnson,393-594-1705,employee117@example.com,"901 Main St, Anytown, USA"
118,Employee 118,44,75914.74,HR,Male,22,Bachelor's,3.0,2020-04-01,Coordinator HR,Bob Johnson,156-603-9873,employee118@example.com,"123 Main St, Anytown, USA"
119,Employee 119,35,103029.64,Marketing,Female,8,Associate's,5.0,2010-03-20,Analyst Marketing,Emily Williams,413-689-4013,employee119@example.com,"123 Main St, Anytown, USA"
120,Employee 120,60,65403.41,HR,Non-binary,27,PhD,5.0,2022-06-04,Manager HR,John Doe,536-612-5526,employee120@example.com,"678 Main St, Anytown, USA"
121,Employee 121,51,109938.51,Finance,Non-binary,17,Bachelor's,3.0,2020-06-16,Coordinator Finance,David Brown,766-737-1144,employee121@example.com,"123 Main St, Anytown, USA"
122,Employee 122,44,66535.13,Marketing,Female,27,Bachelor's,4.0,2023-11-11,Engineer Marketing,Bob Johnson,574-663-1643,employee122@example.com,"123 Main St, Anytown, USA"
123,Employee 123,22,91298.66,Sales,Female,13,PhD,3.5,2023-02-12,Engineer Sales,Bob Johnson,260-970-8475,employee123@example.com,"890 Main St, Anytown, USA"
124,Employee 124,62,60975.82,Finance,Female,17,Associate's,4.5,2020-01-22,Engineer Finance,David Brown,614-362-1780,employee124@example.com,"101 Main St, Anytown, USA"
125,Employee 125,39,102403.44,Engineering,Female,17,Associate's,3.0,2015-02-28,Assistant Engineering,Emily Williams,447-274-2079,employee125@example.com,"901 Main St, Anytown, USA"
126,Employee 126,46,114093.74,Engineering,Male,30,PhD,4.5,2015-09-21,Analyst Engineering,David Brown,752-431-7719,employee126@example.com,"678 Main St, Anytown, USA"
127,Employee 127,62,81232.53,HR,Female,11,Associate's,4.5,2020-08-02,Assistant HR,Jane Smith,610-604-5342,employee127@example.com,"2345 Main St, Anytown, USA"
128,Employee 128,22,81755.98,Engineering,Female,6,Master's,5.0,2023-10-12,Manager Engineering,David Brown,471-861-5643,employee128@example.com,"101 Main St, Anytown, USA"
129,Employee 129,51,91715.08,Engineering,Male,3,Bachelor's,4.0,2022-12-18,Manager Engineering,David Brown,294-194-4477,employee129@example.com,"5678 Main St, Anytown, USA"
130,Employee 130,35,98743.07,HR,Female,28,High School,3.0,2013-02-15,Manager HR,David Brown,429-474-9956,employee130@example.com,"567 Main St, Anytown, USA"
131,Employee 131,24,105095.97,Sales,Male,16,High School,3.0,2017-02-21,Coordinator Sales,Emily Williams,598-231-7601,employee131@example.com,"5678 Main St, Anytown, USA"
132,Employee 132,50,73396.13,Sales,Male,21,Associate's,3.5,2022-07-12,Assistant Sales,Emily Williams,525-397-6048,employee132@example.com,"1234 Main St, Anytown, USA"
133,Employee 133,36,82803.75,HR,Male,19,High School,3.5,2015-05-20,Analyst HR,Bob Johnson,985-670-1623,employee133@example.com,"234 Main St, Anytown, USA"
134,Employee 134,31,118009.16,HR,Female,30,Master's,5.0,2021-08-11,Analyst HR,Bob Johnson,765-402-2971,employee134@example.com,"789 Main St, Anytown, USA"
135,Employee 135,27,105659.47,HR,Female,12,PhD,4.0,2014-01-08,Manager HR,Jane Smith,848-416-4658,employee135@example.com,"123 Main St, Anytown, USA"
136,Employee 136,39,88267.03,HR,Non-binary,21,Bachelor's,4.0,2020-09-03,Assistant HR,John Doe,488-529-5886,employee136@example.com,"101 Main St, Anytown, USA"
137,Employee 137,61,40265.11,Finance,Non-binary,2,High School,3.5,2019-03-27,Analyst Finance,John Doe,302-414-6667,employee137@example.com,"678 Main St, Anytown, USA"
138,Employee 138,54,110141.58,Finance,Non-binary,4,Master's,3.0,2010-06-13,Manager Finance,Jane Smith,455-678-8465,employee138@example.com,"890 Main St, Anytown, USA"
139,Employee 139,59,110284.2,Sales,Non-binary,15,PhD,4.5,2016-05-09,Coordinator Sales,John Doe,727-735-9683,employee139@example.com,"1234 Main St, Anytown, USA"
140,Employee 140,41,55214.1,HR,Male,18,Bachelor's,4.5,2022-10-17,Assistant HR,John Doe,134-692-4285,employee140@example.com,"456 Main St, Anytown, USA"
141,Employee 141,28,69083.35,Sales,Female,27,Master's,4.0,2012-04-06,Coordinator Sales,Bob Johnson,456-990-5880,employee141@example.com,"123 Main St, Anytown, USA"
142,Employee 142,52,101801.89,Sales,Male,19,Master's,4.5,2017-07-25,Engineer Sales,David Brown,612-511-4660,employee142@example.com,"1234 Main St, Anytown, USA"
143,Employee 143,46,41729.95,HR,Non-binary,2,Master's,5.0,2019-11-15,Coordinator HR,Emily Williams,603-417-2356,employee143@example.com,"789 Main St, Anytown, USA"
144,Employee 144,28,56859.79,Finance,Male,4,Master's,3.0,2013-11-21,Director Finance,Emily Williams,411-925-5896,employee144@example.com,"567 Main St, Anytown, USA"
145,Employee 145,39,105782.21,Sales,Female,10,PhD,3.5,2015-05-25,Engineer Sales,John Doe,221-203-6096,employee145@example.com,"2345 Main St, Anytown, USA"
146,Employee 146,52,88843.85,HR,Male,28,High School,4.0,2016-11-06,Director HR,David Brown,801-940-3450,employee146@example.com,"890 Main St, Anytown, USA"
147,Employee 147,57,98655.24,Sales,Non-binary,4,Master's,5.0,2011-11-03,Director Sales,Emily Williams,848-281-7131,employee147@example.com,"1234 Main St, Anytown, USA"
148,Employee 148,51,77266.1,HR,Male,12,Master's,4.0,2017-07-08,Engineer HR,Bob Johnson,982-687-6909,employee148@example.com,"789 Main St, Anytown, USA"
149,Employee 149,33,111763.09,Sales,Non-binary,22,Bachelor's,4.0,2022-04-03,Engineer Sales,David Brown,131-468-7248,employee149@example.com,"5678 Main St, Anytown, USA"
150,Employee 150,42,40060.05,Sales,Non-binary,13,Associate's,3.5,2023-10-03,Coordinator Sales,David Brown,574-524-4886,employee150@example.com,"101 Main St, Anytown, USA"
151,Employee 151,30,42331.33,HR,Female,4,Associate's,3.5,2012-02-19,Manager HR,John Doe,791-591-5106,employee151@example.com,"234 Main St, Anytown, USA"
152,Employee 152,44,71443.61,Marketing,Female,21,Associate's,4.0,2019-09-05,Assistant Marketing,David Brown,870-583-7415,employee152@example.com,"678 Main St, Anytown, USA"
153,Employee 153,63,113890.76,Marketing,Non-binary,9,Bachelor's,4.5,2014-08-01,Director Marketing,Jane Smith,925-209-6630,employee153@example.com,"789 Main St, Anytown, USA"
154,Employee 154,51,71986.29,Sales,Male,9,Bachelor's,3.0,2023-12-28,Director Sales,Emily Williams,887-929-9069,employee154@example.com,"1234 Main St, Anytown, USA"
155,Employee 155,30,75614.77,Sales,Non-binary,4,High School,3.0,2017-10-15,Manager Sales,John Doe,125-250-1657,employee155@example.com,"2345 Main St, Anytown, USA"
156,Employee 156,22,74274.13,Marketing,Female,8,High School,4.0,2023-07-22,Manager Marketing,John Doe,319-413-7960,employee156@example.com,"890 Main St, Anytown, USA"
157,Employee 157,60,42768.36,Sales,Male,12,Bachelor's,3.0,2010-10-26,Assistant Sales,David Brown,552-452-5424,employee157@example.com,"1234 Main St, Anytown, USA"
158,Employee 158,25,102883.16,Marketing,Non-binary,17,Associate's,3.0,2019-03-25,Analyst Marketing,Jane Smith,178-830-1576,employee158@example.com,"5678 Main St, Anytown, USA"
159,Employee 159,43,48669.0,Engineering,Non-binary,5,Bachelor's,4.5,2016-07-03,Director Engineering,Emily Williams,544-340-7107,employee159@example.com,"5678 Main St, Anytown, USA"
160,Employee 160,21,92327.38,Engineering,Non-binary,24,Bachelor's,4.0,2013-11-17,Assistant Engineering,Bob Johnson,214-893-4662,employee160@example.com,"789 Main St, Anytown, USA"
